# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v3.2 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-06-01T00:00:00.0
# Date end (ISO 8601): 2020-07-01T00:00:00.0
# Latitude (positive North, ISO 19115): 49.6100
# Longitude (positive East, ISO 19115): 6.1300
# Altitude (m): 304.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2020-09-28
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-06-02T15:00:00.0/2020-06-02T16:00:00.0;788.7743;579.0830;460.4932;118.5898;771.4111;541.4662;411.5663;129.8999;683.8878;1.0000
2020-06-02T16:00:00.0/2020-06-02T17:00:00.0;599.2746;414.0320;310.6316;103.4004;683.0077;347.0830;166.5937;180.4893;365.9591;1.0000
2020-06-02T17:00:00.0/2020-06-02T18:00:00.0;395.0313;243.5678;163.4612;80.1066;539.6817;205.8530;99.8146;106.0384;326.6840;1.0000
2020-06-02T18:00:00.0/2020-06-02T19:00:00.0;189.9670;91.3333;46.1581;45.1752;294.1923;73.3177;10.6778;62.6399;58.1395;1.0000
2020-06-02T19:00:00.0/2020-06-02T20:00:00.0;21.6681;6.4120;1.2712;5.1407;24.9215;5.8920;0.0014;5.8906;0.0233;1.0000
2020-06-02T20:00:00.0/2020-06-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-02T21:00:00.0/2020-06-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-02T22:00:00.0/2020-06-02T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-02T23:00:00.0/2020-06-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-03T00:00:00.0/2020-06-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-03T01:00:00.0/2020-06-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-03T02:00:00.0/2020-06-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-06-03T03:00:00.0/2020-06-03T04:00:00.0;12.3685;3.2326;0.3762;2.8564;9.2265;3.2157;0.3557;2.8600;8.8071;0.8333
2020-06-03T04:00:00.0/2020-06-03T05:00:00.0;166.5607;71.9561;28.9143;43.0418;203.2181;59.0613;6.1100;52.9513;39.4224;1.0000
2020-06-03T05:00:00.0/2020-06-03T06:00:00.0;370.8219;212.8669;123.4191;89.4478;431.7861;177.0949;76.4474;100.6475;257.7890;1.0000
2020-06-03T06:00:00.0/2020-06-03T07:00:00.0;575.9349;378.0548;252.7833;125.2715;577.6049;348.7295;224.9592;123.7704;507.1014;1.0000
2020-06-03T07:00:00.0/2020-06-03T08:00:00.0;767.9300;540.5466;387.2341;153.3125;665.9379;508.7997;379.1073;129.6924;652.1027;1.0000
2020-06-03T08:00:00.0/2020-06-03T09:00:00.0;933.7318;683.6671;508.7311;174.9359;720.4328;642.2603;491.9659;150.2945;696.7551;1.0000
2020-06-03T09:00:00.0/2020-06-03T10:00:00.0;1062.0498;794.4642;601.9559;192.5083;749.8770;744.5248;578.5350;165.9898;720.7363;1.0000
2020-06-03T10:00:00.0/2020-06-03T11:00:00.0;1144.1484;863.7755;657.4919;206.2836;760.4182;810.1490;633.0894;177.0597;732.1685;1.0000
2020-06-03T11:00:00.0/2020-06-03T12:00:00.0;1174.4424;886.7145;672.0509;214.6637;757.2172;799.3979;494.7630;304.6349;557.6163;1.0000
2020-06-03T12:00:00.0/2020-06-03T13:00:00.0;1150.8771;862.0436;644.3357;217.7079;740.7596;702.5986;326.5168;376.0818;374.2578;1.0000
2020-06-03T13:00:00.0/2020-06-03T14:00:00.0;1075.0688;791.3917;576.8249;214.5668;709.6661;616.9141;262.4543;354.4598;324.7120;1.0000
2020-06-03T14:00:00.0/2020-06-03T15:00:00.0;952.1941;679.3582;475.1698;204.1884;659.5450;580.2881;294.1429;286.1453;408.2650;1.0000
2020-06-03T15:00:00.0/2020-06-03T16:00:00.0;790.6360;534.1124;347.3856;186.7268;579.5005;451.5458;211.1217;240.4241;351.7803;1.0000
2020-06-03T16:00:00.0/2020-06-03T17:00:00.0;601.4121;369.1129;211.1989;157.9140;460.8392;303.4263;121.7868;181.6394;264.4044;1.0000
2020-06-03T17:00:00.0/2020-06-03T18:00:00.0;397.4236;205.1916;92.9300;112.2616;301.6375;136.3864;25.3748;111.0116;78.4309;1.0000
