countryName,pollutant,reportingYear,emissions
Belgium,Benzene,2008,500250
Belgium,"Benzo(g,h,i)perylene",2008,1339.46525
Belgium,Chromium and compounds (as Cr),2008,12913
Belgium,Mercury and compounds (as Hg),2008,1459.7999999999997
Belgium,Pentachlorophenol (PCP),2008,1779
Belgium,Polycyclic aromatic hydrocarbons (PAHs),2008,13825.6
Belgium,Copper and compounds (as Cu),2009,2191
Belgium,Sulphur hexafluoride (SF6),2009,99.2
Belgium,Di-(2-ethyl hexyl) phthalate (DEHP),2010,1199
Belgium,Ammonia (NH3),2011,5804400
Belgium,Benzene,2011,305420
Belgium,Chromium and compounds (as Cr),2011,5789
Belgium,Mercury and compounds (as Hg),2011,926.0000000000001
Belgium,Pentachlorophenol (PCP),2011,471
Belgium,Polycyclic aromatic hydrocarbons (PAHs),2011,8204.3
Belgium,Copper and compounds (as Cu),2012,2094
Belgium,Sulphur hexafluoride (SF6),2012,83.5
Belgium,Di-(2-ethyl hexyl) phthalate (DEHP),2013,428
Belgium,Particulate matter (PM10),2013,1366800
Belgium,Ammonia (NH3),2014,2654300
Belgium,Benzene,2014,121380
Belgium,Copper and compounds (as Cu),2015,1517
Belgium,Hydro-fluorocarbons (HFCS),2015,106592
Belgium,Sulphur hexafluoride (SF6),2015,112
Belgium,Di-(2-ethyl hexyl) phthalate (DEHP),2016,138
Belgium,Particulate matter (PM10),2016,1658700
Belgium,Benzene,2017,53330
Belgium,Carbon dioxide (CO2),2017,44395000000
Belgium,Copper and compounds (as Cu),2018,721
Belgium,Ethylene oxide,2018,1700
Belgium,Fluorine and inorganic compounds (as HF),2018,82330
Belgium,Hydro-fluorocarbons (HFCS),2018,143683
Belgium,Di-(2-ethyl hexyl) phthalate (DEHP),2019,25.700000000000003
Belgium,Particulate matter (PM10),2019,1294800
Belgium,Carbon dioxide (CO2),2020,41122000000
Croatia,Carbon dioxide (CO2),2020,6349000000
Cyprus,Methane (CH4),2008,1001000
Cyprus,Nitrogen oxides (NOX),2008,8822000
Cyprus,Methane (CH4),2011,416000
Cyprus,Nitrogen oxides (NOX),2011,11424000
Cyprus,Methane (CH4),2014,1471000
Cyprus,Sulphur oxides (SOX),2015,11964000
Cyprus,Sulphur oxides (SOX),2018,15936000
Cyprus,Carbon dioxide (CO2),2019,4500000000
Cyprus,Sulphur oxides (SOX),2021,9017000
Czechia,Arsenic and compounds (as As),2007,2976.3
Czechia,Benzene,2007,11510
Czechia,Mercury and compounds (as Hg),2007,3365.2999999999997
Czechia,Naphthalene,2007,50308
Czechia,Nitrogen oxides (NOX),2007,133441000
Czechia,Trichloroethylene (TRI),2007,32500
Czechia,Zinc and compounds (as Zn),2007,91086
Czechia,Copper and compounds (as Cu),2008,5954
Czechia,Lead and compounds (as Pb),2008,25791
Czechia,Sulphur oxides (SOX),2008,139394000
Czechia,Chromium and compounds (as Cr),2009,1919
Czechia,Di-(2-ethyl hexyl) phthalate (DEHP),2009,61
Czechia,PCDD + PCDF (dioxins + furans) (as Teq),2009,0.0542
Czechia,Benzene,2010,10910
Czechia,Mercury and compounds (as Hg),2010,3125.7
Czechia,Vinyl chloride,2010,2460
Czechia,Copper and compounds (as Cu),2011,3582
Czechia,Sulphur oxides (SOX),2011,132347000
Czechia,Ammonia (NH3),2012,5384000
Czechia,Chromium and compounds (as Cr),2012,1149
Czechia,Di-(2-ethyl hexyl) phthalate (DEHP),2012,65
Czechia,Benzene,2013,5470
Czechia,Copper and compounds (as Cu),2014,1720
Czechia,Hydro-fluorocarbons (HFCS),2014,2627
Czechia,Sulphur oxides (SOX),2014,104933000
Czechia,Ammonia (NH3),2015,6092600
Czechia,Chromium and compounds (as Cr),2015,890
Czechia,Di-(2-ethyl hexyl) phthalate (DEHP),2015,70.9
Czechia,Nickel and compounds (as Ni),2016,4024.3
Czechia,Vinyl chloride,2016,2870
Czechia,Copper and compounds (as Cu),2017,1412
Czechia,Hydro-fluorocarbons (HFCS),2017,3509
Czechia,Sulphur oxides (SOX),2017,80514000
Czechia,Ammonia (NH3),2018,6989764.979769999
Czechia,Nickel and compounds (as Ni),2019,2711.47845
Czechia,Tetrachloroethylene,2019,2491
Czechia,Vinyl chloride,2019,1392
Czechia,Hydro-fluorocarbons (HFCS),2020,5203.157
Denmark,Arsenic and compounds (as As),2007,182
Denmark,Mercury and compounds (as Hg),2007,237.4
Denmark,Methane (CH4),2007,19223000
Denmark,Nitrogen oxides (NOX),2007,38537000
Denmark,Zinc and compounds (as Zn),2007,3500
Denmark,Non-methane volatile organic compounds (NMVOC),2008,5789000
Denmark,PCDD + PCDF (dioxins + furans) (as Teq),2009,0.0036
Denmark,Mercury and compounds (as Hg),2010,172.3
Denmark,Methane (CH4),2010,15313000
Denmark,Nitrogen oxides (NOX),2010,14980000
Denmark,Zinc and compounds (as Zn),2010,746
Denmark,PCDD + PCDF (dioxins + furans) (as Teq),2012,0.002711
Denmark,Arsenic and compounds (as As),2013,104.2
Denmark,Mercury and compounds (as Hg),2013,139.6
Denmark,Methane (CH4),2013,20828000
